sofascore_slug,transfermarkt_url,lig,sezon,etiket
bradley-conor/1008402,https://www.transfermarkt.com/conor-bradley/profil/spieler/624258,League One,22/23,Right Midfield
brenden-aaronson/973431,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323,Championship,24/25,Attacking Midfield
brenden-aaronson/973431,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323,Premier League,22/23,Attacking Midfield
brenden-aaronson/973431,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323,Bundesliga,21/22,Attacking Midfield
brenden-aaronson/973431,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323,MLS,2020,Attacking Midfield
brenden-aaronson/973431,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323,Bundesliga,20/21,Left Midfield
brennan-johnson/1085180,https://www.transfermarkt.com/brennan-johnson/profil/spieler/470607,Premier League,24/25,Right Winger
brennan-johnson/1085180,https://www.transfermarkt.com/brennan-johnson/profil/spieler/470607,Premier League,23/24,Right Winger
brennan-johnson/1085180,https://www.transfermarkt.com/brennan-johnson/profil/spieler/470607,Championship,21/22,Centre-Forward
brennan-johnson/1085180,https://www.transfermarkt.com/brennan-johnson/profil/spieler/470607,League One,20/21,Right Winger
brennan-johnson/1085180,https://www.transfermarkt.com/brennan-johnson/profil/spieler/470607,Premier League,22/23,Centre-Forward
bruno-fernandes/288205,https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306,Premier League,24/25,Attacking Midfield
bruno-fernandes/288205,https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306,Premier League,23/24,Attacking Midfield
bruno-fernandes/288205,https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306,Premier League,22/23,Attacking Midfield
bruno-fernandes/288205,https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306,Premier League,21/22,Attacking Midfield
bruno-fernandes/288205,https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306,Premier League,20/21,Attacking Midfield
bruno-fernandes/288205,https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306,Liga NOS,19/20,Attacking Midfield
bruno-fernandes/288205,https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306,Liga NOS,18/19,Attacking Midfield
bruno-fernandes/288205,https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306,Liga NOS,17/18,Attacking Midfield
bruno-fernandes/288205,https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306,Serie A,16/17,Attacking Midfield
